Keyword,Collocate,Freq
subcorpus,,
Keyword,Collocate,Freq
feed,,6
,literally,3
,just,3
feed,,4
,job,4
feed,,21
,them,21
feed,,9
,you,9
subcorpus,,
Keyword,Collocate,Freq
quit,,25
,just,21
,already,4
quit,,4
,game,4
subcorpus,,
Keyword,Collocate,Freq
just,,4
,uninstall,4
just,,100
,stop,36
,quit,21
,go,11
,give,6
,be,8
,waste,4
,mess,4
,play,4
,stay,3
,feed,3
